SHAPE_AREA,US_ACT2021,DES_US2021,DES_ES2021,UNION,NOMBRE_PARQUE,DIRECCION,SECTOR,CATEGORIA,UBICACION,ACCESO,TIPOLOGIA
4610.71112735,EA,ESPACIO ABIERTO,PARQUE,"306",PARQUE SAN EVARISTO,"COLONIA VILLAS DEL OBISPO , CALLE LANDON  Y SAN EVARISTO",K1,PRINCIPAL,ÁREA PÚBLICA,ABIERTO,parque de barrio
4496.2620843,EA,ESPACIO ABIERTO,PARQUE,"307",PARQUE SAN EVARISTO,"COLONIA VILLAS DEL OBISPO , CALLE LANDON  Y SAN EVARISTO",K1,PRINCIPAL,ÁREA PÚBLICA,ABIERTO,parque de barrio
11.9757155374,EA,ESPACIO ABIERTO,PARQUE,"308",,,,,,,
51.3555020525,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,"309",,,,,,,
12.1724333972,EA,ESPACIO ABIERTO,PARQUE,"310",,,,,,,
100.627917919,EA,ESPACIO ABIERTO,PARQUE,"311",,,,,,,
252.219150184,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,"312",,,,,,,
131.9844016,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,"313",,,,,,,
238.407465582,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,"314",,,,,,,
4789.5910797,EA,ESPACIO ABIERTO,CAÑADA,"315",,,,,,,
76.6690380395,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,"316",,,,,,,
4143.65378137,EA,ESPACIO ABIERTO,PARQUE,"317",,,,,,,
1672.38399066,EA,ESPACIO ABIERTO,PARQUE,"318",,,,,,,
99.2367929811,EA,ESPACIO ABIERTO,PARQUE,"319",,,,,,,
98.5346774598,EA,ESPACIO ABIERTO,CAMELLON,"320",,,,,,,
109.90222693,EA,ESPACIO ABIERTO,CAMELLON,"321",,,,,,,
76.5286609149,EA,ESPACIO ABIERTO,CAMELLON,"322",,,,,,,
6961.49292083,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,"323",,,,,,,
8231.49166623,EA,ESPACIO ABIERTO,PARQUE,"324",,,,,,,
2925.24920128,EA,ESPACIO ABIERTO,PARQUE,"325",,,,,,,
